agent_id,role,scenario_tag,persona_summary,decision_style,bound_vendor_id,trust_network,memory_seed_1,memory_seed_2,memory_seed_3,behavioral_rule_1,behavioral_rule_2,behavioral_rule_3,mirofish_weight
AGENT-001,vendor_agent,scenario_1,Price-aggressive; monitors competitor bids; will undercut 15% for volume,opportunistic,V001,AGENT-016|AGENT-006,Won contract worth €403K in 2023,Lost 3 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.83
AGENT-002,vendor_agent,scenario_1,Relationship-driven; rarely drops below cost; expects multi-year contracts,risk_averse,V002,AGENT-009|AGENT-016,Won contract worth €572K in 2021,Lost 2 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.64
AGENT-003,vendor_agent,scenario_1,Volatile pricing; capacity constraints Q3; likely to withdraw if lead < 30d,volatile,V003,AGENT-010|AGENT-015|AGENT-002,Won contract worth €534K in 2022,Lost 1 bids to competitors in last 12 months on price,Experienced port delay last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.69
AGENT-004,vendor_agent,scenario_1,Conservative; ISO-certified; slow to adapt pricing; prioritises OTD rep,risk_averse,V004,AGENT-006|AGENT-012|AGENT-010,Won contract worth €419K in 2022,Lost 2 bids to competitors in last 12 months on price,Experienced FX shock last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.94
AGENT-005,vendor_agent,scenario_1,New entrant; will underbid to gain reference customer,aggressive,V005,AGENT-017|AGENT-004|AGENT-016,Won contract worth €636K in 2022,Lost 2 bids to competitors in last 12 months on price,Experienced port delay last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.61
AGENT-006,vendor_agent,scenario_6,Port-dependent; exposed to Hamburg delays; 3-week buffer stock only,risk_averse,V006,AGENT-009|AGENT-005|AGENT-012,Won contract worth €311K in 2022,Lost 1 bids to competitors in last 12 months on price,Experienced port delay last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.91
AGENT-007,vendor_agent,scenario_6,Diversified logistics; can switch to air freight +12% cost,collaborative,V007,AGENT-006|AGENT-015,Won contract worth €741K in 2021,Lost 3 bids to competitors in last 12 months on price,Experienced FX shock last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.81
AGENT-008,vendor_agent,scenario_6,Single-source raw material from China; tariff spike → +18% in 2 weeks,risk_averse,V008,AGENT-002|AGENT-005|AGENT-013,Won contract worth €689K in 2021,Lost 2 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.65
AGENT-009,vendor_agent,scenario_6,Has rare earth inventory hedge until Q2 2025; can hold price 60 days,opportunistic,V009,AGENT-017|AGENT-012|AGENT-007,Won contract worth €366K in 2021,Lost 2 bids to competitors in last 12 months on price,Experienced FX shock last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.92
AGENT-010,vendor_agent,scenario_7,Unknown vendor; bootstrapped from 2 analog profiles; medium trust prior,collaborative,V010,AGENT-014|AGENT-017|AGENT-001,Won contract worth €532K in 2023,Lost 3 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.92
AGENT-011,buyer_agent,all,Procurement manager; OTD over price by 1.5×; prefers ISO9001 vendors,risk_averse,,AGENT-015|AGENT-017|AGENT-005,Won contract worth €505K in 2021,Lost 1 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.88
AGENT-012,buyer_agent,all,Category manager Electrical; aggressive on price; tracks LME weekly,opportunistic,,AGENT-017|AGENT-011,Won contract worth €486K in 2023,Lost 3 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.89
AGENT-013,buyer_agent,all,CFO delegate; hard budget ceiling; escalates if PO > target by >8%,risk_averse,,AGENT-014|AGENT-012,Won contract worth €524K in 2023,Lost 3 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.67
AGENT-014,market_agent,scenario_6,LME copper desk analyst; publishes weekly price curves,collaborative,,AGENT-005|AGENT-010|AGENT-016,Won contract worth €321K in 2021,Lost 3 bids to competitors in last 12 months on price,Experienced quality dispute last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.99
AGENT-015,market_agent,scenario_6,Freight forwarder; live Suez/Hamburg routing data,collaborative,,AGENT-001|AGENT-005,Won contract worth €206K in 2021,Lost 1 bids to competitors in last 12 months on price,Experienced port delay last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.92
AGENT-016,regulator_agent,scenario_6,EU trade desk; monitors tariff compliance; 5-day guidance turnaround,risk_averse,,AGENT-012|AGENT-008|AGENT-010,Won contract worth €437K in 2021,Lost 1 bids to competitors in last 12 months on price,Experienced port delay last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.86
AGENT-017,competitor_agent,all,Hexagon AG procurement; competes for same vendor capacity; pays 5% premium,aggressive,,AGENT-004|AGENT-011|AGENT-014,Won contract worth €524K in 2021,Lost 1 bids to competitors in last 12 months on price,Experienced port delay last delivery,IF competitor bids >10% above my cost THEN undercut by 8%,IF lead time <21 days THEN add 15% premium,IF buyer is repeat customer THEN offer 3% loyalty discount,0.73
